id,date,in_time,out_time
E01,2025-01-02,09:05,17:05
E02,2025-01-02,09:10,17:30
E03,2025-01-03,09:30,17:20
E04,2025-01-03,08:50,17:10
E05,2025-01-04,09:05,16:55
E06,2025-01-05,09:00,18:00
E07,2025-01-06,09:15,17:15
E08,2025-01-07,09:00,17:00
E09,2025-01-08,09:25,16:55
E10,2025-01-09,08:55,17:05
E11,2025-01-10,09:00,17:30
E12,2025-01-11,09:20,17:10
E13,2025-01-12,09:40,16:40
E14,2025-01-13,09:00,17:00
E15,2025-01-14,09:10,17:20
E16,2025-01-15,08:50,17:00
E17,2025-01-16,09:05,17:05
E18,2025-01-17,09:00,17:00
E19,2025-01-18,09:30,17:00
E20,2025-01-19,08:45,16:45
