ticket_id,category,severity,status,assigned_to
TK01,Network,1,open,E04
TK02,Software,2,open,E01
TK03,Hardware,1,open,E07
TK04,Printer,3,open,E09
TK05,Database,1,open,E10
TK06,Email,2,open,E02
TK07,Payment,1,open,E18
TK08,Security,1,open,E14
TK09,UI,3,open,E08
TK10,Onboarding,2,open,E11
TK11,Payroll,1,open,E12
TK12,Licenses,3,open,E06
TK13,Network,2,open,E04
TK14,Hardware,1,open,E20
TK15,Software,2,open,E01
TK16,Access,1,open,E16
TK17,Monitoring,2,open,E14
TK18,Backup,1,open,E10
TK19,Mobile,3,open,E08
TK20,Storage,2,open,E05
