id,month,worked_hours,rate_per_hour,total_salary
E01,2025-01,160,100,16000
E02,2025-01,168,110,18480
E03,2025-01,150,95,14250
E04,2025-01,170,105,17850
E05,2025-01,140,90,12600
E06,2025-01,180,120,21600
E07,2025-01,155,85,13175
E08,2025-01,160,98,15680
E09,2025-01,130,75,9750
E10,2025-01,175,115,20125
E11,2025-01,150,80,12000
E12,2025-01,165,100,16500
E13,2025-01,120,60,7200
E14,2025-01,170,110,18700
E15,2025-01,158,95,15010
E16,2025-01,172,105,18060
E17,2025-01,145,70,10150
E18,2025-01,160,100,16000
E19,2025-01,150,88,13200
E20,2025-01,168,90,15120
