from,to,distance
N1,N2,12
N2,N3,18
N3,N4,25
N4,N5,30
N5,N6,20
N6,N7,15
N7,N8,10
N8,N9,22
N9,N10,18
N10,N11,28
N11,N12,12
N12,N13,17
N13,N14,20
N14,N15,25
N15,N16,30
N16,N17,18
N17,N18,14
N18,N19,22
N19,N20,19
N20,N21,26
N21,N22,15
N22,N23,20
N23,N24,18
N24,N25,24
N25,N26,30
N26,N27,12
N27,N28,17
N28,N29,21
N29,N30,27
N30,N31,20
N31,N32,16
N32,N33,18
N33,N34,25
N34,N35,22
N35,N36,28
N36,N37,15
N37,N38,19
N38,N39,23
N39,N40,21
N40,N41,27
N41,N42,16
N42,N43,18
N43,N44,24
N44,N45,20
N45,N46,30
N46,N47,14
N47,N48,17
N48,N49,22
N49,N50,18
N50,N51,25
N51,N52,20
N52,N53,16
N53,N54,18
N54,N55,21
N55,N56,23
N56,N57,28
N57,N58,15
N58,N59,19
N59,N60,24
N60,N61,22
N61,N62,26
N62,N63,18
N63,N64,21
N64,N65,27
N65,N66,25
N66,N67,17
N67,N68,19
N68,N69,22
N69,N70,20
N70,N71,26
N71,N72,18
N72,N73,21
N73,N74,24
N74,N75,20
N75,N76,27
N76,N77,15
N77,N78,18
N78,N79,22
N79,N80,19
N80,N81,25
N81,N82,17
N82,N83,21
N83,N84,20
N84,N85,24
N85,N86,30
N86,N87,16
N87,N88,18
N88,N89,22
N89,N90,25
N90,N91,20
N91,N92,19
N92,N93,23
N93,N94,18
N94,N95,21
N95,N96,27
N96,N97,22
N97,N98,24
N98,N99,20
N99,N100,28
N1,N11,30
N2,N12,28
N3,N13,25
N4,N14,24
N5,N15,20
N6,N16,22
N7,N17,18
N8,N18,21
N9,N19,23
N10,N20,26
N11,N21,25
N12,N22,20
N13,N23,18
N14,N24,24
N15,N25,22
N16,N26,19
N17,N27,25
N18,N28,21
N19,N29,23
N20,N30,27
N21,N31,24
N22,N32,22
N23,N33,20
N24,N34,26
N25,N35,28
N26,N36,24
N27,N37,22
N28,N38,19
N29,N39,23
N30,N40,27
N31,N41,21
N32,N42,18
N33,N43,20
N34,N44,24
N35,N45,26
N36,N46,22
N37,N47,19
N38,N48,25
N39,N49,21
N40,N50,23
N41,N51,27
N42,N52,24
N43,N53,22
N44,N54,20
N45,N55,25
N46,N56,28
N47,N57,23
N48,N58,21
N49,N59,19
N50,N60,24
N51,N61,22
N52,N62,20
N53,N63,18
N54,N64,25
N55,N65,23
N56,N66,27
N57,N67,21
N58,N68,19
N59,N69,24
N60,N70,22
N61,N71,20
N62,N72,25
N63,N73,23
N64,N74,27
N65,N75,21
N66,N76,19
N67,N77,24
N68,N78,22
N69,N79,20
N70,N80,25
N71,N81,23
N72,N82,27
N73,N83,21
N74,N84,19
N75,N85,24
N76,N86,22
N77,N87,20
N78,N88,25
N79,N89,23
N80,N90,27
N81,N91,21
N82,N92,19
N83,N93,24
N84,N94,22
N85,N95,20
N86,N96,25
N87,N97,23
N88,N98,27
N89,N99,21
N90,N100,19
