id,customerId,serviceId,staffId,timeSlot,status
1,1,1,1,2025-07-1 10:00,Completed
2,2,2,2,2025-07-2 10:00,Completed
3,3,3,3,2025-07-3 10:00,Completed
4,4,4,4,2025-07-4 10:00,Completed
5,5,5,5,2025-07-5 10:00,Completed
6,6,6,6,2025-07-6 10:00,Completed
7,7,7,7,2025-07-7 10:00,Completed
8,8,8,8,2025-07-8 10:00,Completed
9,9,9,9,2025-07-9 10:00,Completed
10,10,10,10,2025-07-10 10:00,Completed
11,11,1,11,2025-07-11 10:00,Booked
12,12,2,12,2025-07-12 10:00,Booked
13,13,3,13,2025-07-13 10:00,Booked
14,14,4,14,2025-07-14 10:00,Booked
15,15,5,15,2025-07-15 10:00,Booked
16,16,6,1,2025-07-16 10:00,Booked
17,17,7,2,2025-07-17 10:00,Booked
18,18,8,3,2025-07-18 10:00,Booked
19,19,9,4,2025-07-19 10:00,Booked
20,20,10,5,2025-07-20 10:00,Booked
