shopid,itemname,price,stock
101,Football,921,68
101,Burger,1850,125
101,Gift Box,1648,45
101,Sneakers,671,24
101,Frying Pan,1550,60
102,Water Bottle,1980,121
102,Organic Honey,882,133
102,Notebook,293,150
102,T-Shirt,502,54
102,Jeans,709,150
103,Perfume,1920,40
103,Action Figure,170,142
103,Wall Clock,163,144
103,Lens Cleaner,749,182
103,Comics,873,17
104,Wall Clock,1191,21
104,Power Bank,228,127
104,Jacket,1066,32
104,Cookies,1066,88
104,Grocery Pack,181,168
105,Notebook,1301,108
105,Sunglasses,1722,122
105,Watch,1364,78
105,LED Lamp,343,151
105,Jeans,264,83
106,Action Figure,451,82
106,Cookies,1868,78
106,Sandwich,1820,121
106,Pasta,714,172
106,Pizza,1185,165
107,Football,1996,176
107,Juice,158,169
107,Gift Box,1406,144
107,Watch,1890,52
107,Juice,600,34
108,Hair Dryer,1880,125
108,Makeup Kit,89,174
108,Chocolate,299,133
108,Wall Clock,672,162
108,Necklace,410,149
109,Backpack,1968,125
109,Juice,1130,93
109,Juice,1278,160
109,Burger,1830,137
109,Lens Cleaner,70,102
110,Pasta,1749,168
110,Gift Box,562,34
110,Camera,130,103
110,Plush Toy,523,118
110,Charger,1893,76
111,Camera,1897,150
111,Cookies,228,48
111,Camera,105,195
111,Power Bank,225,11
111,Tea,1145,181
112,Sunglasses,1143,42
112,Smartphone,1749,137
112,Action Figure,1831,178
112,Sandwich,1862,16
112,Frying Pan,1974,193
113,Action Figure,82,184
113,Chocolate,1093,13
113,Gift Box,524,185
113,Tea,112,120
113,Organic Honey,1659,162
114,Gift Box,689,64
114,Necklace,639,139
114,Organic Honey,705,148
114,Smartwatch,1904,114
114,Organic Honey,1202,97
115,Novel Book,92,162
115,Football,84,125
115,Perfume,1279,60
115,Backpack,931,29
115,Camera,1609,100
116,Toy Car,836,125
116,Pizza,1154,48
116,Chocolate,335,132
116,Watch,976,125
116,Wall Clock,1081,67
117,Football,1890,46
117,Gaming Mouse,1785,86
117,Chocolate,799,12
117,Headphones,652,65
117,T-Shirt,1949,125
118,Phone Case,951,81
118,Perfume,1402,164
118,Sandwich,434,158
118,Grocery Pack,170,107
118,Camera,618,177
119,Cricket Bat,1412,155
119,Smartphone,294,64
119,Pasta,1499,200
119,Toy Car,1336,187
119,Jacket,1497,146
120,Gaming Mouse,1796,85
120,Novel Book,701,128
120,Camera,1686,142
120,Jeans,935,22
120,Notebook,1030,127
121,Juice,1555,85
121,Football,495,130
121,Comics,1616,27
121,Pizza,776,173
121,Gaming Mouse,1647,170
122,T-Shirt,1962,92
122,Water Bottle,739,151
122,Makeup Kit,1079,18
122,Necklace,684,127
122,Pasta,1237,87
123,Novel Book,1250,30
123,Smartphone,1750,64
