id,name,role,specialty,available
1,Staff_1,Therapist,Massage,1
2,Staff_2,Therapist,Massage,1
3,Staff_3,Therapist,Massage,1
4,Staff_4,Therapist,Massage,1
5,Staff_5,Therapist,Massage,1
6,Staff_6,Therapist,Facial,1
7,Staff_7,Therapist,Facial,1
8,Staff_8,Therapist,Facial,1
9,Staff_9,Therapist,Facial,1
10,Staff_10,Therapist,Facial,1
11,Staff_11,Therapist,Aroma,1
12,Staff_12,Therapist,Aroma,1
13,Staff_13,Therapist,Aroma,1
14,Staff_14,Therapist,Aroma,1
15,Staff_15,Therapist,Aroma,1
16,Staff_16,Receptionist,Desk,1
17,Staff_17,Receptionist,Desk,1
18,Staff_18,Receptionist,Desk,1
19,Staff_19,Receptionist,Desk,1
20,Staff_20,Receptionist,Desk,1
