movie_id,title,genre,duration_minutes,rating,language,release_date
3001,Movie_3001,Adventure,153,7.5,English,2023-10-17
3002,Movie_3002,Action,136,6.0,English,2022-12-10
3003,Movie_3003,Romance,145,6.5,English,2023-11-09
3004,Movie_3004,Adventure,166,6.8,Hindi,2024-12-24
3005,Movie_3005,Adventure,115,6.2,English,2023-09-02
3006,Movie_3006,Comedy,112,7.9,Tamil,2022-09-20
3007,Movie_3007,Action,144,8.8,Hindi,2024-07-16
3008,Movie_3008,Action,95,6.6,English,2021-12-16
3009,Movie_3009,Adventure,170,6.9,Hindi,2022-08-11
3010,Movie_3010,Action,152,8.0,Hindi,2024-03-28
3011,Movie_3011,Action,137,6.1,Hindi,2021-12-28
3012,Movie_3012,Romance,148,6.4,Tamil,2024-08-01
3013,Movie_3013,Comedy,152,7.0,Telugu,2021-03-10
3014,Movie_3014,Romance,148,8.7,English,2021-12-07
3015,Movie_3015,Drama,119,7.6,English,2024-12-13
3016,Movie_3016,Fantasy,109,8.6,English,2022-02-02
3017,Movie_3017,Fantasy,100,9.1,Hindi,2025-10-01
3018,Movie_3018,Adventure,151,7.4,English,2022-05-07
3019,Movie_3019,Comedy,177,7.8,Telugu,2024-09-10
3020,Movie_3020,Comedy,131,8.1,English,2024-06-17
3021,Movie_3021,Comedy,146,7.6,English,2023-11-02
3022,Movie_3022,Sci-Fi,136,6.4,English,2025-03-23
3023,Movie_3023,Thriller,162,9.0,Telugu,2024-09-14
3024,Movie_3024,Adventure,163,9.2,English,2023-02-18
3025,Movie_3025,Drama,116,8.6,Tamil,2021-04-16
3026,Movie_3026,Drama,180,7.7,Hindi,2025-08-28
3027,Movie_3027,Fantasy,92,7.7,Tamil,2024-12-25
3028,Movie_3028,Sci-Fi,121,9.0,Tamil,2023-03-23
3029,Movie_3029,Action,131,7.8,Tamil,2023-09-24
3030,Movie_3030,Action,118,8.9,Hindi,2024-04-27
3031,Movie_3031,Drama,100,6.2,Tamil,2022-01-25
3032,Movie_3032,Fantasy,107,8.4,Tamil,2024-11-23
3033,Movie_3033,Thriller,98,7.5,Tamil,2021-02-15
3034,Movie_3034,Comedy,119,6.1,Hindi,2023-10-05
3035,Movie_3035,Drama,173,7.7,Telugu,2024-11-05
3036,Movie_3036,Sci-Fi,165,7.5,Telugu,2021-07-05
3037,Movie_3037,Adventure,104,8.6,Tamil,2024-01-12
3038,Movie_3038,Action,168,7.8,Telugu,2024-06-03
3039,Movie_3039,Fantasy,160,9.2,Tamil,2025-07-13
3040,Movie_3040,Drama,156,7.5,Telugu,2024-04-03
3041,Movie_3041,Sci-Fi,115,9.5,Telugu,2024-07-04
3042,Movie_3042,Sci-Fi,115,9.1,Telugu,2024-05-09
3043,Movie_3043,Drama,158,7.8,Hindi,2022-11-26
3044,Movie_3044,Adventure,138,8.8,Tamil,2024-03-27
3045,Movie_3045,Sci-Fi,141,6.3,Telugu,2022-02-04
3046,Movie_3046,Drama,176,7.9,Tamil,2024-12-05
3047,Movie_3047,Fantasy,121,6.9,English,2021-06-01
3048,Movie_3048,Sci-Fi,157,6.8,Telugu,2021-01-04
3049,Movie_3049,Romance,104,7.5,English,2022-11-02
3050,Movie_3050,Romance,141,7.3,Tamil,2024-02-06
