event_id,title,organizer_member_id,facility_id,date,start_time,end_time,expected_attendance,revenue_expected,status
1,Event1,39,38,2023-07-03,21:15,09:00,93,72944,scheduled
2,Event2,39,49,2023-08-24,19:45,17:45,202,39962,approved
3,Event3,49,19,2023-08-23,17:15,08:45,243,113700,pending
4,Event4,32,7,2023-12-24,08:15,14:30,96,78419,approved
5,Event5,50,3,2023-06-07,09:00,18:15,85,43561,pending
6,Event6,12,39,2023-03-19,09:00,18:45,37,44485,approved
7,Event7,4,25,2025-09-11,12:15,09:00,300,20498,pending
8,Event8,2,16,2023-09-20,13:00,17:45,264,25497,approved
9,Event9,42,15,2025-12-16,20:30,17:45,243,43594,scheduled
10,Event10,33,6,2023-01-15,10:45,15:30,100,137169,approved
11,Event11,24,8,2025-02-06,11:00,21:30,28,58024,pending
12,Event12,44,23,2024-11-14,21:45,15:15,28,100298,pending
13,Event13,1,12,2023-09-14,13:15,20:00,166,48753,pending
14,Event14,17,7,2023-02-28,17:45,15:45,40,41179,scheduled
15,Event15,31,47,2023-10-15,12:00,09:00,128,132780,pending
16,Event16,22,4,2024-10-07,16:45,18:15,194,37758,approved
17,Event17,29,43,2025-03-25,13:00,16:45,158,106390,approved
18,Event18,36,33,2023-09-04,13:30,09:45,45,102160,pending
19,Event19,20,35,2024-07-29,21:00,11:45,208,114449,pending
20,Event20,19,50,2024-10-26,13:45,17:45,202,10903,approved
21,Event21,26,19,2023-05-20,16:00,19:00,169,134675,scheduled
22,Event22,28,4,2024-05-09,17:45,13:15,196,24251,approved
23,Event23,12,32,2024-02-28,13:45,16:45,150,81864,scheduled
24,Event24,49,15,2025-02-15,11:30,20:30,136,119969,scheduled
25,Event25,44,46,2024-04-08,15:30,10:00,300,127119,scheduled
26,Event26,31,30,2023-02-25,13:30,21:30,38,5179,approved
27,Event27,19,17,2025-06-28,10:00,14:45,43,39363,approved
28,Event28,17,20,2025-09-16,17:00,19:00,53,85705,scheduled
29,Event29,37,42,2025-10-18,14:30,17:15,234,142595,approved
30,Event30,35,19,2024-07-24,12:00,13:00,271,132916,scheduled
31,Event31,45,38,2023-08-28,21:45,14:15,168,92491,pending
32,Event32,7,16,2024-02-28,20:15,21:00,69,17214,pending
33,Event33,19,23,2023-02-20,09:00,15:30,258,75780,approved
34,Event34,14,25,2023-05-24,19:30,19:30,237,114177,approved
35,Event35,43,49,2023-06-06,17:30,10:30,92,110435,approved
36,Event36,43,48,2024-02-07,20:30,08:30,247,67443,scheduled
37,Event37,48,35,2023-11-07,20:45,17:15,85,126489,scheduled
38,Event38,7,31,2023-08-15,19:30,10:00,272,39971,approved
39,Event39,41,43,2024-09-09,09:15,08:30,87,128471,scheduled
40,Event40,9,9,2025-07-15,17:15,17:30,99,85404,pending
41,Event41,12,39,2024-06-27,16:45,11:45,193,58912,scheduled
42,Event42,29,3,2025-02-16,10:45,12:30,191,121270,pending
43,Event43,1,4,2023-01-23,11:45,13:45,47,73000,pending
44,Event44,30,50,2023-06-23,12:15,18:30,49,82472,pending
45,Event45,43,22,2023-07-15,15:00,15:15,236,136990,scheduled
46,Event46,32,37,2025-05-04,08:00,11:15,165,59288,pending
47,Event47,42,24,2024-11-27,16:45,14:15,240,62917,scheduled
48,Event48,11,37,2023-03-18,13:00,11:15,182,120046,scheduled
49,Event49,12,6,2023-02-01,10:45,12:15,299,121922,pending
50,Event50,46,26,2023-04-13,16:15,18:00,264,48060,approved
