revenue_id,source_type,source_id,date,amount,description
1,event,17,2024-01-17,59593,Generated revenue
2,event,3,2024-07-07,18607,Generated revenue
3,event,46,2023-12-20,12993,Generated revenue
4,event,31,2025-09-08,54431,Generated revenue
5,event,7,2024-09-22,38730,Generated revenue
6,event,29,2025-04-09,47867,Generated revenue
7,event,25,2024-06-21,9598,Generated revenue
8,event,44,2023-12-17,40718,Generated revenue
9,booking,34,2023-03-20,50352,Generated revenue
10,booking,47,2025-08-01,41401,Generated revenue
11,event,47,2024-02-16,12246,Generated revenue
12,event,23,2023-09-28,16808,Generated revenue
13,event,40,2025-06-10,36108,Generated revenue
14,event,11,2024-10-18,23851,Generated revenue
15,event,11,2023-05-26,57820,Generated revenue
16,booking,32,2025-12-07,35925,Generated revenue
17,event,45,2023-09-07,25937,Generated revenue
18,booking,34,2025-09-27,43210,Generated revenue
19,booking,35,2025-12-09,26709,Generated revenue
20,event,11,2023-07-03,10565,Generated revenue
21,booking,16,2025-10-06,59848,Generated revenue
22,booking,19,2023-06-21,28531,Generated revenue
23,event,3,2024-05-26,58717,Generated revenue
24,event,47,2025-08-31,16701,Generated revenue
25,booking,17,2025-01-13,12010,Generated revenue
26,booking,7,2023-06-01,26886,Generated revenue
27,event,49,2025-05-12,47864,Generated revenue
28,booking,3,2023-09-04,23208,Generated revenue
29,event,50,2023-05-23,33140,Generated revenue
30,booking,20,2025-11-26,16396,Generated revenue
31,event,1,2023-04-09,10890,Generated revenue
32,event,37,2025-02-10,14513,Generated revenue
33,booking,44,2025-10-03,43897,Generated revenue
34,event,43,2024-03-09,43219,Generated revenue
35,booking,44,2024-04-14,38446,Generated revenue
36,event,34,2025-05-20,26073,Generated revenue
37,event,35,2024-04-18,44935,Generated revenue
38,event,28,2023-11-02,2092,Generated revenue
39,booking,1,2025-11-04,29910,Generated revenue
40,booking,19,2023-07-03,49087,Generated revenue
41,booking,45,2024-06-14,33099,Generated revenue
42,event,40,2025-07-27,42592,Generated revenue
43,booking,24,2023-07-17,26588,Generated revenue
44,event,26,2024-03-12,24550,Generated revenue
45,event,36,2024-02-08,44954,Generated revenue
46,booking,35,2025-04-26,16272,Generated revenue
47,event,40,2024-04-25,2665,Generated revenue
48,event,18,2025-10-01,59147,Generated revenue
49,booking,5,2025-01-22,32005,Generated revenue
50,event,14,2023-12-04,11823,Generated revenue
