vendor_id,name,type
1,Vendor_1,FOOD
2,Vendor_2,PHARMA
3,Vendor_3,FOOD
4,Vendor_4,PHARMA
5,Vendor_5,FOOD
6,Vendor_6,PHARMA
7,Vendor_7,FOOD
8,Vendor_8,PHARMA
9,Vendor_9,FOOD
10,Vendor_10,PHARMA
11,Vendor_11,FOOD
12,Vendor_12,PHARMA
13,Vendor_13,FOOD
14,Vendor_14,PHARMA
15,Vendor_15,FOOD
16,Vendor_16,PHARMA
17,Vendor_17,FOOD
18,Vendor_18,PHARMA
19,Vendor_19,FOOD
20,Vendor_20,PHARMA
21,Vendor_21,FOOD
22,Vendor_22,PHARMA
23,Vendor_23,FOOD
24,Vendor_24,PHARMA
25,Vendor_25,FOOD
26,Vendor_26,PHARMA
27,Vendor_27,FOOD
28,Vendor_28,PHARMA
29,Vendor_29,FOOD
30,Vendor_30,PHARMA
31,Vendor_31,FOOD
32,Vendor_32,PHARMA
33,Vendor_33,FOOD
34,Vendor_34,PHARMA
35,Vendor_35,FOOD
36,Vendor_36,PHARMA
37,Vendor_37,FOOD
38,Vendor_38,PHARMA
39,Vendor_39,FOOD
40,Vendor_40,PHARMA
41,Vendor_41,FOOD
42,Vendor_42,PHARMA
43,Vendor_43,FOOD
44,Vendor_44,PHARMA
45,Vendor_45,FOOD
46,Vendor_46,PHARMA
47,Vendor_47,FOOD
48,Vendor_48,PHARMA
49,Vendor_49,FOOD
50,Vendor_50,PHARMA
