id,footfall,cost,rating
1,2622,76289,3.12
2,3121,32244,3.81
3,774,179855,1.14
4,271,19121,4.74
5,1579,442490,1.57
6,378,321464,1.92
7,4468,263974,1.21
8,470,314613,4.59
9,1341,41724,4.71
10,1800,149850,4.39
11,1201,410260,1.85
12,517,349436,3.48
13,2664,362007,3.39
14,1197,296474,1.71
15,3692,74312,4.6
16,90,421191,3.97
17,177,114538,4.12
18,4276,369722,1.46
19,432,276208,4.55
20,2329,132045,2.62
21,3172,317244,3.03
22,4196,128706,3.22
23,1940,85791,1.47
24,4269,389970,3.92
25,1789,96461,3.76
26,4580,491616,4.01
27,983,419392,3.84
28,1754,28141,2.02
29,609,67255,3.85
30,667,175445,2.5
31,3754,371094,2.02
32,3426,319489,2.7
33,660,256584,1.35
34,981,77577,1.36
35,4422,120851,2.43
36,325,331499,4.05
37,2754,156890,3.67
38,3965,176357,4.24
39,2265,131541,2.63
40,2069,489894,1.02
41,2601,329531,3.81
42,3171,168686,2.26
43,734,121945,3.61
44,3684,133638,3.3
45,4622,290507,2.74
46,3512,441795,1.33
47,1664,409432,2.54
48,1832,459875,4.99
49,3129,487562,1.74
50,3971,223910,2.61
51,2517,428367,3.42
52,4157,17457,4.77
53,1207,475550,2.35
54,2127,35917,4.42
55,1243,239900,3.04
56,1599,323106,1.94
57,4957,41692,2.73
58,3980,215644,2.83
59,2128,217982,2.32
60,3660,370706,2.99
61,1711,459873,3.0
62,4236,239545,3.29
63,4540,330993,2.2
64,1663,337623,3.17
65,2154,379317,4.86
66,2261,208347,3.34
67,150,414237,3.71
68,2725,207339,4.45
69,829,197086,4.96
70,2312,51352,3.81
71,924,26339,3.76
72,3630,448657,3.1
73,3992,279432,2.52
74,4161,482596,1.53
75,4754,273821,4.05
76,76,143837,3.83
77,1671,447900,1.4
78,2525,195129,4.44
79,3200,425592,1.43
80,4340,240966,2.84
81,4383,384462,4.28
82,3221,221464,2.46
83,4634,315300,4.62
84,2041,288435,4.19
85,4928,399508,2.77
86,3846,329327,2.97
87,3565,173188,4.28
88,2872,151739,2.02
89,101,244042,1.99
90,604,486626,1.45
91,1864,245822,3.17
92,606,6912,1.5
93,2702,453718,1.48
94,388,365108,4.59
95,4193,47194,1.47
96,934,332181,4.49
97,194,60999,1.51
98,4369,58681,3.49
99,4653,333884,2.13
100,2380,135430,4.93
101,4799,135920,1.92
102,3568,476796,2.1
103,3532,187730,4.35
104,1421,302984,1.74
105,3931,496071,4.05
106,205,54639,1.7
107,1321,276943,3.97
108,4741,189967,4.76
109,1012,87562,4.64
110,54,134451,4.75
111,4554,329408,3.63
112,918,162687,3.65
113,4156,445480,2.15
114,1315,490336,4.15
115,2486,341513,2.99
116,2342,467407,4.35
117,1290,469064,3.59
118,2568,83648,1.35
119,3162,329304,4.59
120,2765,280352,4.44
121,4735,46061,2.39
122,3873,69785,4.35
123,316,175355,1.08
124,1445,208496,4.5
125,2633,128395,3.76
126,2262,7174,2.63
127,3363,264445,1.46
128,163,482033,4.69
