cardID,playerID,playerName,tokens,game
C00001,P00001,Aarav,150,Air_Hockey
C00002,P00002,Vivaan,100,VR_Adventure
C00003,P00003,Maya,10,Air_Hockey
C00004,P00004,Kavya,50,Air_Hockey
C00005,P00005,Neha,75,Air_Hockey
C00006,P00006,Kavya,50,Arcade_Shooter
C00007,P00007,Vivaan,50,VR_Racing
C00008,P00008,Riya,30,Arcade_Shooter
C00009,P00009,Manthan,50,Air_Hockey
C00010,P00010,Varun,100,Arcade_Shooter
C00011,P00011,Ishaan,20,Arcade_Shooter
C00012,P00012,Manthan,150,Arcade_Shooter
C00013,P00013,Ayush,150,VR_Adventure
C00014,P00014,Manthan,100,Arcade_Shooter
C00015,P00015,Manthan,30,VR_Adventure
C00016,P00016,Rohit,100,Air_Hockey
C00017,P00017,Sneha,20,Bowling
C00018,P00018,Aarav,50,VR_Adventure
C00019,P00019,Vivaan,100,VR_Racing
C00020,P00020,Sneha,20,VR_Adventure
C00021,P00021,Ananya,100,VR_Adventure
C00022,P00022,Pranav,150,Air_Hockey
C00023,P00023,Ayush,30,Air_Hockey
C00024,P00024,Vivaan,20,Air_Hockey
C00025,P00025,Vivaan,30,VR_Adventure
C00026,P00026,Maya,20,Air_Hockey
C00027,P00027,Ananya,10,VR_Adventure
C00028,P00028,Ayush,20,Air_Hockey
C00029,P00029,Kushvendra,50,Bowling
C00030,P00030,Kavya,20,VR_Adventure
C00031,P00031,Ishaan,75,Bowling
C00032,P00032,Vivaan,100,VR_Adventure
C00033,P00033,Kushvendra,50,Air_Hockey
C00034,P00034,Saanvi,10,VR_Racing
C00035,P00035,Ayush,20,Air_Hockey
C00036,P00036,Arjun,100,VR_Racing
C00037,P00037,Ishaan,30,VR_Racing
C00038,P00038,Ayush,30,VR_Racing
C00039,P00039,Rohit,75,Air_Hockey
C00040,P00040,Ishaan,150,Bowling
C00041,P00041,Varun,10,VR_Racing
C00042,P00042,Saanvi,100,Bowling
C00043,P00043,Saanvi,150,Air_Hockey
C00044,P00044,Ananya,75,Air_Hockey
C00045,P00045,Manthan,20,Air_Hockey
C00046,P00046,Riya,150,VR_Adventure
C00047,P00047,Kushvendra,75,VR_Adventure
C00048,P00048,Ayush,50,Air_Hockey
C00049,P00049,Sneha,100,VR_Racing
C00050,P00050,Kushvendra,30,Bowling
C00051,P00051,Varun,75,VR_Adventure
C00052,P00052,Ishaan,50,VR_Racing
C00053,P00053,Riya,100,VR_Adventure
C00054,P00054,Maya,50,VR_Adventure
C00055,P00055,Maya,10,Bowling
C00056,P00056,Pranav,100,VR_Adventure
C00057,P00057,Riya,150,Air_Hockey
C00058,P00058,Aarav,10,Arcade_Shooter
C00059,P00059,Sam,20,Arcade_Shooter
C00060,P00060,Aditya,20,Arcade_Shooter
C00061,P00061,Ayush,75,VR_Adventure
C00062,P00062,Saanvi,50,Bowling
C00063,P00063,Neha,10,Arcade_Shooter
C00064,P00064,Vivaan,20,Air_Hockey
C00065,P00065,Aditi,150,VR_Adventure
C00066,P00066,Pranav,10,Bowling
C00067,P00067,Sneha,50,VR_Racing
C00068,P00068,Arjun,100,VR_Adventure
C00069,P00069,Vivaan,75,Bowling
C00070,P00070,Riya,100,Bowling
C00071,P00071,Vivaan,100,VR_Adventure
C00072,P00072,Manthan,150,Air_Hockey
C00073,P00073,Vivaan,50,Air_Hockey
C00074,P00074,Manthan,30,VR_Adventure
C00075,P00075,Maya,20,Arcade_Shooter
C00076,P00076,Ananya,100,Bowling
C00077,P00077,Manthan,20,VR_Adventure
C00078,P00078,Kushvendra,75,Air_Hockey
C00079,P00079,Aarav,150,Air_Hockey
C00080,P00080,Saanvi,10,Arcade_Shooter
C00081,P00081,Arjun,75,Arcade_Shooter
C00082,P00082,Maya,20,Arcade_Shooter
C00083,P00083,Manthan,20,VR_Adventure
C00084,P00084,Rohit,75,VR_Adventure
C00085,P00085,Sneha,10,Bowling
C00086,P00086,Saanvi,30,VR_Adventure
C00087,P00087,Neha,30,Air_Hockey
C00088,P00088,Riya,50,VR_Adventure
C00089,P00089,Pranav,150,Air_Hockey
C00090,P00090,Kavya,50,Bowling
C00091,P00091,Manthan,30,VR_Racing
C00092,P00092,Rohit,100,Arcade_Shooter
C00093,P00093,Varun,20,VR_Racing
C00094,P00094,Aarav,10,VR_Adventure
C00095,P00095,Manthan,100,VR_Racing
C00096,P00096,Varun,75,VR_Racing
C00097,P00097,Aditi,50,Bowling
C00098,P00098,Ayush,100,Bowling
C00099,P00099,Manthan,150,VR_Racing
C00100,P00100,Kushvendra,75,VR_Racing
C00101,P00101,Aarav,30,VR_Adventure
C00102,P00102,Aarav,10,VR_Racing
C00103,P00103,Aditi,100,VR_Adventure
C00104,P00104,Neha,50,VR_Adventure
C00105,P00105,Sneha,150,Bowling
C00106,P00106,Kavya,50,Air_Hockey
C00107,P00107,Vivaan,75,Arcade_Shooter
C00108,P00108,Rohit,75,VR_Adventure
C00109,P00109,Neha,50,Arcade_Shooter
C00110,P00110,Ayush,150,Bowling
C00111,P00111,Ayush,150,Bowling
C00112,P00112,Ananya,20,Arcade_Shooter
C00113,P00113,Pranav,150,Air_Hockey
C00114,P00114,Rohit,30,VR_Adventure
C00115,P00115,Neha,20,Arcade_Shooter
C00116,P00116,Sneha,75,Arcade_Shooter
C00117,P00117,Arjun,150,Air_Hockey
C00118,P00118,Riya,75,VR_Racing
C00119,P00119,Maya,10,Bowling
C00120,P00120,Aarav,20,Arcade_Shooter
C00121,P00121,Sneha,30,Arcade_Shooter
C00122,P00122,Aditi,100,Air_Hockey
C00123,P00123,Ananya,30,Bowling
C00124,P00124,Ishaan,30,Arcade_Shooter
C00125,P00125,Aditya,75,Bowling
C00126,P00126,Aarav,30,VR_Racing
C00127,P00127,Kavya,50,Arcade_Shooter
C00128,P00128,Neha,10,VR_Adventure
C00129,P00129,Sneha,150,VR_Adventure
C00130,P00130,Neha,20,VR_Adventure
C00131,P00131,Vivaan,30,Bowling
C00132,P00132,Sam,50,Air_Hockey
C00133,P00133,Ananya,50,Air_Hockey
C00134,P00134,Aarav,75,VR_Adventure
C00135,P00135,Kushvendra,75,VR_Racing
C00136,P00136,Maya,75,VR_Racing
C00137,P00137,Rohit,150,Bowling
C00138,P00138,Sneha,100,Arcade_Shooter
C00139,P00139,Ayush,50,Bowling
C00140,P00140,Saanvi,75,Air_Hockey
C00141,P00141,Varun,75,Bowling
C00142,P00142,Varun,50,Bowling
C00143,P00143,Varun,100,VR_Adventure
C00144,P00144,Manthan,100,Bowling
C00145,P00145,Rohit,10,Arcade_Shooter
C00146,P00146,Aditya,150,VR_Adventure
C00147,P00147,Aditi,30,Bowling
C00148,P00148,Kavya,150,VR_Adventure
C00149,P00149,Ayush,10,Air_Hockey
C00150,P00150,Ananya,150,VR_Adventure
C00151,P00151,Kushvendra,20,Bowling
C00152,P00152,Sneha,30,Air_Hockey
C00153,P00153,Sneha,50,Bowling
C00154,P00154,Ananya,50,Arcade_Shooter
C00155,P00155,Vivaan,20,Arcade_Shooter
C00156,P00156,Varun,30,VR_Adventure
C00157,P00157,Rohit,50,Bowling
C00158,P00158,Ayush,150,VR_Racing
C00159,P00159,Maya,10,VR_Adventure
C00160,P00160,Sam,150,VR_Adventure
C00161,P00161,Sneha,30,Bowling
C00162,P00162,Sneha,75,VR_Adventure
C00163,P00163,Ananya,20,Arcade_Shooter
C00164,P00164,Maya,10,VR_Racing
C00165,P00165,Ishaan,30,VR_Adventure
C00166,P00166,Aarav,30,Bowling
C00167,P00167,Manthan,100,VR_Racing
C00168,P00168,Rohit,20,Air_Hockey
C00169,P00169,Kushvendra,75,Bowling
C00170,P00170,Pranav,10,Bowling
C00171,P00171,Sam,10,VR_Adventure
C00172,P00172,Ananya,30,Bowling
C00173,P00173,Riya,30,Air_Hockey
C00174,P00174,Arjun,150,Air_Hockey
C00175,P00175,Aditya,20,Arcade_Shooter
C00176,P00176,Maya,20,Arcade_Shooter
C00177,P00177,Ishaan,150,Air_Hockey
C00178,P00178,Kushvendra,20,Arcade_Shooter
C00179,P00179,Manthan,150,Arcade_Shooter
C00180,P00180,Manthan,75,Air_Hockey
C00181,P00181,Kushvendra,150,VR_Adventure
C00182,P00182,Aditi,10,VR_Adventure
C00183,P00183,Ayush,150,Arcade_Shooter
C00184,P00184,Varun,20,VR_Racing
C00185,P00185,Maya,50,VR_Racing
C00186,P00186,Varun,50,VR_Adventure
C00187,P00187,Sneha,150,Bowling
C00188,P00188,Sneha,75,VR_Adventure
C00189,P00189,Arjun,150,Air_Hockey
C00190,P00190,Saanvi,50,Air_Hockey
C00191,P00191,Ananya,10,VR_Adventure
C00192,P00192,Sneha,50,Arcade_Shooter
C00193,P00193,Sam,100,VR_Adventure
C00194,P00194,Ananya,150,Air_Hockey
C00195,P00195,Ayush,50,VR_Racing
C00196,P00196,Sam,50,VR_Adventure
C00197,P00197,Sneha,75,Bowling
C00198,P00198,Kushvendra,10,VR_Racing
C00199,P00199,Pranav,30,Bowling
C00200,P00200,Ishaan,50,Arcade_Shooter
C00201,P00201,Maya,50,Arcade_Shooter
C00202,P00202,Maya,100,VR_Racing
C00203,P00203,Vivaan,10,Air_Hockey
C00204,P00204,Maya,20,Arcade_Shooter
C00205,P00205,Arjun,50,Bowling
C00206,P00206,Arjun,50,VR_Adventure
C00207,P00207,Riya,30,Bowling
C00208,P00208,Ayush,20,VR_Racing
C00209,P00209,Kushvendra,75,Bowling
C00210,P00210,Vivaan,100,Bowling
C00211,P00211,Neha,50,VR_Racing
C00212,P00212,Vivaan,50,Air_Hockey
C00213,P00213,Kushvendra,20,VR_Adventure
C00214,P00214,Aditi,150,Air_Hockey
C00215,P00215,Riya,30,Bowling
C00216,P00216,Aditi,10,VR_Adventure
C00217,P00217,Aditi,50,VR_Racing
C00218,P00218,Varun,100,VR_Adventure
C00219,P00219,Pranav,10,Air_Hockey
C00220,P00220,Kushvendra,100,Bowling
C00221,P00221,Saanvi,100,VR_Adventure
C00222,P00222,Aarav,30,Arcade_Shooter
C00223,P00223,Ayush,30,VR_Adventure
C00224,P00224,Sneha,20,Air_Hockey
C00225,P00225,Varun,20,VR_Adventure
C00226,P00226,Manthan,10,Air_Hockey
C00227,P00227,Aarav,30,VR_Racing
C00228,P00228,Saanvi,150,VR_Racing
C00229,P00229,Neha,75,Air_Hockey
C00230,P00230,Rohit,20,VR_Racing
C00231,P00231,Arjun,75,VR_Racing
C00232,P00232,Kushvendra,50,VR_Adventure
C00233,P00233,Ananya,75,Air_Hockey
C00234,P00234,Aarav,150,Arcade_Shooter
C00235,P00235,Sneha,150,VR_Adventure
C00236,P00236,Kushvendra,20,Air_Hockey
C00237,P00237,Sam,150,VR_Adventure
C00238,P00238,Arjun,10,Bowling
C00239,P00239,Sam,20,Bowling
C00240,P00240,Vivaan,20,Air_Hockey
C00241,P00241,Aditya,50,Arcade_Shooter
C00242,P00242,Aarav,150,Air_Hockey
C00243,P00243,Saanvi,75,VR_Racing
C00244,P00244,Varun,30,VR_Adventure
C00245,P00245,Saanvi,10,Air_Hockey
C00246,P00246,Aditi,30,VR_Adventure
C00247,P00247,Saanvi,150,Air_Hockey
C00248,P00248,Varun,10,Air_Hockey
C00249,P00249,Rohit,20,Arcade_Shooter
C00250,P00250,Aditi,50,Air_Hockey
C00251,P00251,Kushvendra,100,Air_Hockey
C00252,P00252,Ishaan,50,Air_Hockey
C00253,P00253,Sneha,30,Bowling
C00254,P00254,Sam,30,Air_Hockey
C00255,P00255,Ananya,100,Bowling
C00256,P00256,Pranav,10,VR_Racing
C00257,P00257,Kushvendra,100,Air_Hockey
C00258,P00258,Sneha,100,Arcade_Shooter
C00259,P00259,Manthan,10,Bowling
C00260,P00260,Ishaan,20,Bowling
C00261,P00261,Aditi,100,VR_Adventure
C00262,P00262,Varun,75,VR_Racing
C00263,P00263,Aarav,100,VR_Adventure
C00264,P00264,Kushvendra,150,Bowling
C00265,P00265,Varun,50,Arcade_Shooter
C00266,P00266,Saanvi,30,Air_Hockey
C00267,P00267,Varun,30,Bowling
C00268,P00268,Sneha,100,Arcade_Shooter
C00269,P00269,Ishaan,75,VR_Racing
C00270,P00270,Arjun,30,VR_Racing
C00271,P00271,Aarav,150,Bowling
C00272,P00272,Vivaan,30,VR_Racing
C00273,P00273,Rohit,100,Bowling
C00274,P00274,Sam,20,VR_Racing
C00275,P00275,Ayush,50,VR_Racing
C00276,P00276,Varun,100,VR_Racing
C00277,P00277,Neha,150,VR_Racing
C00278,P00278,Vivaan,30,Bowling
C00279,P00279,Ayush,50,VR_Racing
C00280,P00280,Ananya,100,Bowling
C00281,P00281,Aarav,100,Bowling
C00282,P00282,Rohit,100,Bowling
C00283,P00283,Ishaan,10,VR_Racing
C00284,P00284,Pranav,30,VR_Adventure
C00285,P00285,Pranav,10,VR_Adventure
C00286,P00286,Sam,20,Arcade_Shooter
C00287,P00287,Sneha,10,Air_Hockey
C00288,P00288,Sam,75,VR_Racing
C00289,P00289,Ayush,30,VR_Adventure
C00290,P00290,Pranav,75,Arcade_Shooter
C00291,P00291,Kushvendra,50,Bowling
C00292,P00292,Varun,10,Arcade_Shooter
C00293,P00293,Ayush,20,VR_Adventure
C00294,P00294,Saanvi,50,Bowling
C00295,P00295,Sneha,20,Arcade_Shooter
C00296,P00296,Pranav,30,Bowling
C00297,P00297,Varun,100,VR_Racing
C00298,P00298,Sneha,10,VR_Adventure
C00299,P00299,Ananya,20,Bowling
C00300,P00300,Vivaan,150,Bowling
C00301,P00301,Riya,30,Bowling
C00302,P00302,Maya,100,Air_Hockey
C00303,P00303,Ayush,100,Arcade_Shooter
C00304,P00304,Maya,10,VR_Racing
C00305,P00305,Ishaan,30,Bowling
C00306,P00306,Saanvi,75,VR_Adventure
C00307,P00307,Aarav,30,VR_Adventure
C00308,P00308,Aditi,150,Air_Hockey
C00309,P00309,Sneha,100,Arcade_Shooter
C00310,P00310,Kushvendra,10,Bowling
C00311,P00311,Aarav,100,VR_Adventure
C00312,P00312,Ayush,10,Air_Hockey
C00313,P00313,Ishaan,75,VR_Adventure
C00314,P00314,Varun,50,Arcade_Shooter
C00315,P00315,Vivaan,50,VR_Racing
C00316,P00316,Sam,75,VR_Racing
C00317,P00317,Ayush,50,VR_Adventure
C00318,P00318,Aditi,10,Arcade_Shooter
C00319,P00319,Aarav,20,VR_Adventure
C00320,P00320,Pranav,50,VR_Adventure
C00321,P00321,Aditya,100,Arcade_Shooter
C00322,P00322,Aditi,10,Bowling
C00323,P00323,Ishaan,10,Air_Hockey
C00324,P00324,Kavya,30,Bowling
C00325,P00325,Neha,50,Arcade_Shooter
C00326,P00326,Manthan,50,Arcade_Shooter
C00327,P00327,Aditya,20,Bowling
C00328,P00328,Ananya,50,VR_Racing
C00329,P00329,Arjun,50,Air_Hockey
C00330,P00330,Sam,75,Air_Hockey
C00331,P00331,Ayush,20,Arcade_Shooter
C00332,P00332,Sam,30,Air_Hockey
