id,footfall,cost,rating
1,4578,164208,4.75
2,2937,31352,2.24
3,3451,355929,2.18
4,3495,67578,2.9
5,2221,445699,3.47
6,4037,288171,3.76
7,4315,47037,2.8
8,1990,444655,3.55
9,4373,56110,3.87
10,907,169758,4.34
11,3558,219319,2.84
12,4684,112936,1.88
13,2855,106386,4.48
14,1942,456802,3.34
15,1608,217960,3.97
16,1938,434798,4.92
17,2626,33439,3.26
18,1023,428504,2.2
19,2062,111641,1.91
20,2090,49153,3.34
21,1126,348450,4.93
22,2301,293254,3.79
23,482,183024,3.01
24,650,168050,2.5
25,4633,41906,4.24
26,3869,414754,1.23
27,422,308441,1.65
28,825,456993,1.87
29,4879,170192,1.01
30,3092,56189,2.36
31,4415,238117,2.74
32,4133,245336,1.52
33,4629,303264,1.52
34,4083,221382,3.86
35,4968,221333,3.61
36,4769,10892,3.56
37,4058,497120,3.51
38,1184,156814,4.15
39,1883,89518,2.89
40,666,195736,3.0
41,1772,331438,3.22
42,3873,361924,3.77
43,1501,389336,2.08
44,682,366222,1.76
45,4241,343376,4.37
46,2608,239738,2.92
47,931,256472,4.32
48,4990,17240,2.45
49,4520,160561,3.88
50,3049,313237,3.63
51,2314,359878,3.92
52,1916,372204,3.73
53,2777,124651,1.24
54,4701,455408,4.39
55,4701,392020,4.18
56,616,173801,1.13
57,3507,235056,3.54
58,1586,115376,2.27
59,1882,106499,3.88
60,3902,248320,1.66
61,404,454943,3.47
62,3924,21810,1.16
63,1522,494984,4.58
64,1205,285347,2.61
65,2156,389245,4.04
66,4829,302195,1.13
67,2387,466721,3.95
68,1004,95138,2.69
69,2246,186206,2.81
70,1540,372371,4.14
71,4788,422562,2.89
72,3844,323252,3.09
73,1351,95057,3.49
74,3968,122310,4.0
75,2838,317514,2.29
76,2892,437817,2.85
77,647,491667,4.68
78,3298,254998,2.5
79,499,489004,4.14
80,253,470414,4.17
81,3129,413454,2.04
82,2809,214433,4.16
83,943,15989,4.73
84,1216,313129,3.59
85,3754,242530,2.41
86,4832,153550,4.71
87,4697,9611,4.14
88,659,164698,2.77
89,2320,123019,2.9
90,2432,189898,1.08
91,4195,234057,1.96
92,1907,478557,2.64
93,3678,115465,2.69
94,3175,170585,2.96
95,4415,423420,4.3
96,1971,286243,3.35
97,1280,391084,3.77
98,508,431228,3.52
99,4770,243170,4.7
100,117,333676,1.98
101,2218,18401,1.95
102,4555,240586,2.1
103,669,359459,3.92
104,4861,99635,3.67
105,4906,288273,3.54
106,294,131866,4.61
107,4346,457406,3.48
108,4881,317239,4.81
