id,footfall,cost,rating
1,4088,37961,3.36
2,3645,229301,3.36
3,4966,492217,2.61
4,1214,40141,2.34
5,1298,213045,1.85
6,1918,280009,2.09
7,373,408975,2.16
8,1993,387178,3.73
9,1954,364267,4.56
10,686,113994,4.76
11,2145,487475,2.79
12,781,108427,1.17
13,575,31745,3.86
14,286,370554,3.3
15,4504,222958,1.57
16,2139,125212,4.81
17,4834,181960,3.01
18,1441,378064,3.06
19,3112,391703,1.78
20,2979,167745,2.62
21,4935,315249,4.61
22,4764,189265,4.7
23,3237,234983,1.87
24,1714,74806,3.01
25,3740,436346,2.09
26,1103,377675,3.33
27,2750,335054,4.84
28,3986,475356,1.96
29,4859,22980,3.73
30,4936,168177,4.48
31,3411,172874,2.33
32,3310,11741,3.89
33,4447,291419,1.56
34,4515,357473,1.45
35,3761,355242,2.14
36,534,158749,1.19
37,4016,130775,1.32
38,2753,453343,3.36
39,4024,326926,4.4
40,3664,135127,3.29
41,775,395488,4.85
42,4585,397315,2.73
43,2057,384428,1.88
44,2310,442859,3.79
45,494,307315,2.13
46,572,345825,2.14
47,3353,348611,2.28
48,4099,406084,2.76
49,2405,93168,1.01
50,4419,277601,2.7
51,3015,39712,1.12
52,2493,102712,3.73
53,4276,202739,4.96
54,4591,436197,4.5
55,1946,165389,4.65
56,2795,261290,1.98
57,2453,48812,3.07
58,956,51013,1.07
59,977,477750,4.49
60,1672,240643,3.43
61,3653,285216,4.57
62,4684,440011,1.3
63,3564,35031,2.12
64,642,153665,2.49
65,457,447777,2.83
66,120,304674,1.47
67,4020,492696,3.57
68,2638,491411,3.06
69,3293,82877,1.75
70,2671,84526,1.26
71,3429,229205,4.29
72,3416,302750,4.12
73,2428,336990,1.45
74,2386,367512,1.38
75,4476,25184,2.23
76,123,43426,3.24
77,2648,393425,3.3
78,4559,336467,2.07
79,520,232249,2.85
80,1967,6816,3.58
81,3226,157927,4.17
82,611,440098,1.17
83,3104,123971,3.12
84,2242,425131,2.02
85,3466,292958,4.74
86,842,76178,3.59
87,253,224101,4.83
88,3931,292302,4.25
89,3266,247135,1.59
90,4703,303631,3.93
91,574,125626,2.45
92,196,123480,1.5
93,1807,114802,1.48
94,2924,324551,3.98
95,1524,355912,4.9
96,4804,482237,2.56
97,1724,183511,4.32
98,2030,445766,2.59
99,272,300484,3.26
100,1898,360199,1.65
101,4458,173030,2.39
102,795,252249,1.84
103,4358,277766,1.23
104,3460,136392,2.91
105,1412,444245,4.46
106,843,214777,2.11
107,2219,454044,3.75
108,1215,250369,3.28
109,1551,348665,4.56
110,1407,127558,4.17
111,2715,197075,1.01
112,1426,150026,3.07
113,2892,465625,2.16
114,3930,309353,4.67
115,2389,178055,3.15
116,4818,435222,1.47
117,1109,455036,4.36
118,1007,276738,2.99
119,4646,403621,4.37
120,4586,319969,4.42
121,220,384989,2.56
122,3102,211247,1.25
123,4789,140529,1.27
124,4538,443341,4.48
125,1328,338454,4.91
126,2322,220331,4.66
127,137,17754,1.45
128,591,63481,3.96
129,3732,108121,1.42
