medicineID,name,price,quantity,expiryDate,category
MED00001,Atorvastatin,31.41,185,2026-09-18,Supplement
MED00002,Paracetamol,193.37,184,2025-03-07,Prescription
MED00003,Metformin,212.43,42,2025-01-17,OTC
MED00004,Calcium,114.6,44,2028-05-20,Prescription
MED00005,Paracetamol,354.53,114,2026-04-11,PersonalCare
MED00006,Cetirizine,425.38,151,2026-10-07,Supplement
MED00007,Atorvastatin,340.14,175,2025-01-10,Prescription
MED00008,Paracetamol,50.45,35,2026-11-18,Supplement
MED00009,Ibuprofen,190.09,173,2025-09-29,OTC
MED00010,Metformin,496.38,5,2028-09-09,Prescription
MED00011,Ibuprofen,169.59,87,2026-04-10,OTC
MED00012,Cetirizine,456.25,152,2026-06-27,Prescription
MED00013,Azithromycin,380.29,158,2026-11-09,Prescription
MED00014,Ibuprofen,402.79,185,2025-07-25,OTC
MED00015,Cetirizine,134.72,90,2028-03-25,OTC
MED00016,Metformin,497.0,42,2027-04-02,Supplement
MED00017,Cetirizine,444.76,67,2025-11-02,PersonalCare
MED00018,Omeprazole,454.93,170,2026-12-06,OTC
MED00019,Paracetamol,271.31,126,2026-04-03,Prescription
MED00020,Atorvastatin,187.31,87,2025-06-14,Supplement
MED00021,Omeprazole,488.86,154,2028-07-05,OTC
MED00022,Azithromycin,175.61,20,2027-09-04,Supplement
MED00023,Atorvastatin,417.82,80,2028-11-02,Prescription
MED00024,Calcium,355.3,195,2027-05-06,Prescription
MED00025,Calcium,109.51,27,2027-05-02,PersonalCare
MED00026,Azithromycin,138.78,64,2027-03-01,OTC
MED00027,Cetirizine,426.01,170,2026-10-13,PersonalCare
MED00028,Atorvastatin,482.39,184,2025-12-08,PersonalCare
MED00029,Metformin,443.83,44,2027-05-19,OTC
MED00030,Metformin,272.35,130,2028-09-03,PersonalCare
MED00031,Omeprazole,96.7,150,2028-06-26,OTC
MED00032,Omeprazole,294.09,21,2028-05-20,PersonalCare
MED00033,Azithromycin,29.69,60,2028-06-20,Supplement
MED00034,Ibuprofen,229.2,126,2025-05-02,Supplement
MED00035,Atorvastatin,35.59,84,2028-06-14,Prescription
MED00036,Cetirizine,458.9,180,2027-05-08,PersonalCare
MED00037,Azithromycin,344.82,25,2025-12-21,Prescription
MED00038,Metformin,395.19,198,2027-12-24,OTC
MED00039,Metformin,261.0,23,2028-09-08,Supplement
MED00040,Cetirizine,47.45,94,2028-05-29,Prescription
MED00041,Omeprazole,162.93,11,2028-10-23,Prescription
MED00042,Cetirizine,397.01,60,2025-08-08,Prescription
MED00043,Metformin,83.61,92,2027-01-30,PersonalCare
MED00044,Omeprazole,243.95,155,2028-06-02,OTC
MED00045,Ibuprofen,364.8,74,2028-04-24,OTC
MED00046,Metformin,321.78,49,2025-06-24,Prescription
MED00047,Metformin,139.39,157,2027-02-02,Prescription
MED00048,Ibuprofen,445.57,175,2028-08-30,Prescription
MED00049,Calcium,252.15,173,2028-08-08,OTC
MED00050,Atorvastatin,27.58,37,2028-10-31,OTC
MED00051,Calcium,310.38,99,2026-11-27,OTC
MED00052,Calcium,122.54,41,2027-11-09,OTC
MED00053,Omeprazole,87.8,157,2025-06-20,OTC
MED00054,Calcium,129.72,158,2025-11-15,Prescription
MED00055,Ibuprofen,304.98,63,2027-03-25,OTC
MED00056,Atorvastatin,232.47,173,2027-08-02,PersonalCare
MED00057,Calcium,74.68,6,2027-01-06,Prescription
MED00058,Calcium,253.92,113,2028-08-10,Supplement
MED00059,Atorvastatin,428.21,189,2028-06-21,OTC
MED00060,Atorvastatin,434.43,14,2026-06-05,Supplement
MED00061,Atorvastatin,44.54,45,2025-01-13,Prescription
MED00062,Omeprazole,376.35,133,2026-05-15,PersonalCare
MED00063,Paracetamol,445.79,190,2026-09-27,Supplement
MED00064,Paracetamol,101.65,80,2027-10-28,PersonalCare
MED00065,Calcium,385.39,12,2026-05-02,OTC
MED00066,Metformin,24.08,199,2026-02-26,Supplement
MED00067,Omeprazole,348.73,117,2028-10-23,Supplement
MED00068,Metformin,320.21,137,2028-12-27,Prescription
MED00069,Azithromycin,398.63,138,2027-11-01,OTC
MED00070,Paracetamol,56.25,62,2028-01-31,Prescription
MED00071,Calcium,102.81,12,2026-10-05,OTC
MED00072,Azithromycin,137.39,96,2025-05-04,OTC
MED00073,Metformin,96.65,0,2025-07-21,Prescription
MED00074,Cetirizine,193.6,60,2025-12-22,OTC
MED00075,Azithromycin,348.87,19,2028-10-08,PersonalCare
MED00076,Ibuprofen,367.36,163,2027-04-22,Prescription
MED00077,Omeprazole,423.73,60,2028-01-06,OTC
MED00078,Calcium,495.37,188,2027-02-19,OTC
MED00079,Calcium,379.56,151,2028-12-17,Supplement
MED00080,Calcium,225.64,47,2025-04-05,OTC
MED00081,Paracetamol,189.72,20,2026-06-11,OTC
MED00082,Paracetamol,483.93,2,2027-07-25,OTC
MED00083,Omeprazole,135.89,143,2027-01-18,OTC
MED00084,Atorvastatin,70.02,55,2027-07-29,OTC
MED00085,Atorvastatin,58.84,28,2028-04-11,OTC
MED00086,Metformin,403.3,77,2027-01-11,Supplement
MED00087,Atorvastatin,221.75,120,2025-10-18,PersonalCare
MED00088,Atorvastatin,182.45,29,2028-05-13,Prescription
MED00089,Calcium,225.34,20,2026-04-29,PersonalCare
MED00090,Calcium,372.49,29,2028-11-10,PersonalCare
MED00091,Cetirizine,426.3,61,2028-04-12,Supplement
MED00092,Omeprazole,71.14,189,2027-04-03,PersonalCare
MED00093,Calcium,281.07,6,2027-02-02,Supplement
MED00094,Calcium,119.59,25,2026-02-05,PersonalCare
MED00095,Metformin,415.12,11,2025-12-06,Prescription
MED00096,Azithromycin,349.95,183,2026-08-15,PersonalCare
MED00097,Ibuprofen,164.92,100,2027-02-20,Prescription
MED00098,Calcium,223.65,186,2026-03-24,OTC
MED00099,Metformin,476.69,28,2025-05-27,PersonalCare
MED00100,Omeprazole,393.98,175,2026-09-03,Prescription
MED00101,Ibuprofen,199.8,75,2027-11-14,Prescription
MED00102,Ibuprofen,308.46,136,2027-05-14,Prescription
MED00103,Omeprazole,145.73,6,2026-05-28,PersonalCare
MED00104,Atorvastatin,201.01,144,2027-03-05,PersonalCare
MED00105,Paracetamol,123.9,141,2028-02-19,Prescription
MED00106,Paracetamol,33.59,138,2026-03-27,PersonalCare
MED00107,Azithromycin,212.75,58,2028-11-14,OTC
MED00108,Atorvastatin,296.79,46,2025-10-24,OTC
MED00109,Cetirizine,251.63,14,2027-02-25,Supplement
MED00110,Azithromycin,154.48,11,2026-06-26,OTC
MED00111,Omeprazole,376.56,175,2025-10-25,OTC
MED00112,Ibuprofen,280.74,43,2025-09-20,Prescription
MED00113,Metformin,250.31,132,2026-01-30,OTC
MED00114,Ibuprofen,277.51,114,2028-11-27,PersonalCare
MED00115,Paracetamol,427.03,122,2026-11-17,PersonalCare
MED00116,Metformin,419.66,122,2026-08-07,PersonalCare
MED00117,Paracetamol,171.55,34,2025-08-07,PersonalCare
MED00118,Ibuprofen,72.98,139,2027-04-19,Supplement
MED00119,Omeprazole,190.85,188,2025-07-14,OTC
MED00120,Paracetamol,227.68,126,2026-03-09,Supplement
MED00121,Omeprazole,433.55,24,2027-04-16,Prescription
MED00122,Ibuprofen,100.72,118,2027-01-21,Supplement
MED00123,Calcium,412.63,190,2027-04-29,OTC
MED00124,Omeprazole,306.41,155,2027-04-21,Prescription
MED00125,Calcium,458.65,129,2025-05-26,OTC
MED00126,Azithromycin,272.27,176,2028-12-26,OTC
MED00127,Omeprazole,274.59,42,2028-11-29,OTC
MED00128,Ibuprofen,386.53,164,2025-01-27,PersonalCare
MED00129,Ibuprofen,224.49,126,2026-12-14,Prescription
MED00130,Cetirizine,75.16,56,2028-11-16,Prescription
MED00131,Omeprazole,462.04,61,2025-06-07,PersonalCare
MED00132,Atorvastatin,148.53,9,2025-04-03,Supplement
MED00133,Paracetamol,136.48,172,2025-12-01,Supplement
MED00134,Metformin,198.35,198,2026-11-13,Prescription
MED00135,Atorvastatin,353.53,60,2028-10-24,OTC
MED00136,Cetirizine,251.28,71,2026-03-23,Prescription
MED00137,Cetirizine,457.17,198,2026-12-02,OTC
MED00138,Calcium,408.19,17,2028-05-14,Prescription
MED00139,Atorvastatin,287.67,17,2028-07-12,Supplement
MED00140,Calcium,436.47,45,2025-08-06,Prescription
MED00141,Azithromycin,214.79,9,2025-09-06,PersonalCare
MED00142,Azithromycin,294.3,66,2027-01-04,Supplement
MED00143,Ibuprofen,415.91,185,2028-02-11,Supplement
MED00144,Atorvastatin,132.2,80,2027-03-09,Prescription
MED00145,Paracetamol,309.49,2,2027-08-22,PersonalCare
MED00146,Atorvastatin,392.08,159,2025-04-05,PersonalCare
MED00147,Metformin,193.93,148,2028-01-08,PersonalCare
MED00148,Cetirizine,322.23,186,2025-03-07,Prescription
MED00149,Ibuprofen,241.23,162,2026-01-21,Supplement
MED00150,Ibuprofen,220.9,130,2025-05-12,OTC
MED00151,Azithromycin,123.58,159,2027-08-22,Prescription
MED00152,Omeprazole,237.35,122,2028-11-19,Prescription
MED00153,Ibuprofen,249.83,57,2028-12-18,Supplement
MED00154,Paracetamol,359.05,46,2026-09-18,Prescription
MED00155,Cetirizine,330.24,188,2026-07-08,OTC
MED00156,Azithromycin,409.16,15,2027-04-24,Prescription
MED00157,Cetirizine,372.09,111,2026-10-03,Supplement
MED00158,Paracetamol,65.19,139,2025-07-24,Supplement
MED00159,Metformin,148.86,75,2028-02-07,Supplement
MED00160,Cetirizine,341.31,171,2025-03-05,Prescription
MED00161,Metformin,137.43,193,2027-01-24,OTC
MED00162,Metformin,230.82,89,2028-12-07,OTC
MED00163,Ibuprofen,340.79,131,2027-05-23,OTC
MED00164,Atorvastatin,219.93,70,2025-01-17,Supplement
MED00165,Ibuprofen,168.29,89,2026-01-30,OTC
MED00166,Azithromycin,244.38,81,2026-09-30,Prescription
MED00167,Metformin,422.61,23,2028-11-02,OTC
MED00168,Cetirizine,205.06,19,2028-09-28,OTC
MED00169,Paracetamol,328.64,81,2027-02-25,Supplement
MED00170,Metformin,106.99,147,2028-04-30,Prescription
MED00171,Paracetamol,324.4,44,2026-05-11,PersonalCare
MED00172,Omeprazole,361.34,110,2028-04-09,PersonalCare
MED00173,Cetirizine,392.18,145,2026-12-12,Prescription
MED00174,Azithromycin,277.88,23,2028-03-10,Supplement
MED00175,Ibuprofen,420.69,160,2028-01-15,Prescription
MED00176,Paracetamol,421.17,59,2026-09-18,Prescription
MED00177,Metformin,333.78,38,2026-08-26,OTC
MED00178,Omeprazole,223.83,45,2027-11-16,Prescription
MED00179,Metformin,216.85,51,2026-09-07,Prescription
MED00180,Azithromycin,143.53,120,2027-01-30,OTC
MED00181,Omeprazole,229.37,156,2026-06-06,OTC
MED00182,Omeprazole,392.5,92,2026-08-13,Prescription
MED00183,Metformin,139.56,143,2025-12-28,PersonalCare
MED00184,Cetirizine,286.15,87,2025-02-12,PersonalCare
MED00185,Metformin,118.02,5,2028-03-28,Supplement
MED00186,Cetirizine,487.56,143,2028-07-21,Supplement
MED00187,Metformin,441.99,122,2028-07-17,OTC
MED00188,Azithromycin,293.27,154,2027-05-15,Supplement
MED00189,Atorvastatin,120.57,153,2025-07-16,PersonalCare
MED00190,Omeprazole,177.51,66,2027-07-27,OTC
MED00191,Azithromycin,22.17,195,2028-04-27,Supplement
MED00192,Metformin,85.46,130,2027-07-22,Prescription
MED00193,Metformin,493.26,189,2028-06-04,PersonalCare
MED00194,Omeprazole,267.85,111,2027-05-31,PersonalCare
MED00195,Metformin,239.35,104,2028-12-06,OTC
MED00196,Calcium,356.13,164,2025-02-15,PersonalCare
MED00197,Paracetamol,60.8,66,2028-06-26,PersonalCare
MED00198,Ibuprofen,58.78,194,2026-03-17,Supplement
MED00199,Calcium,69.26,100,2027-09-11,Supplement
MED00200,Omeprazole,227.42,83,2025-01-01,Supplement
MED00201,Ibuprofen,280.55,129,2027-05-16,OTC
MED00202,Ibuprofen,204.49,169,2026-08-23,Supplement
MED00203,Cetirizine,118.12,177,2026-03-01,Supplement
MED00204,Omeprazole,296.23,83,2025-02-08,Supplement
MED00205,Atorvastatin,384.55,4,2028-08-15,Supplement
MED00206,Omeprazole,216.09,181,2028-03-26,Prescription
MED00207,Calcium,184.71,11,2025-10-05,Supplement
MED00208,Cetirizine,401.79,111,2025-05-28,PersonalCare
MED00209,Cetirizine,451.76,114,2025-09-12,Supplement
MED00210,Paracetamol,425.35,84,2025-04-25,Prescription
MED00211,Atorvastatin,438.22,125,2027-05-27,Prescription
