id,footfall,cost,rating
1,2784,400801,4.36
2,1151,168176,3.23
3,2530,126285,1.22
4,2997,458708,4.46
5,4409,108620,2.95
6,961,135029,4.79
7,2996,156252,3.61
8,1979,77463,2.8
9,1141,347273,4.23
10,4797,38226,4.22
11,775,402417,4.86
12,3063,36823,3.54
13,1693,462608,4.08
14,3331,443321,2.93
15,3540,237058,3.35
16,4729,193675,3.36
17,4701,401911,3.14
18,2173,452758,4.34
19,563,7868,3.73
20,2561,446813,1.38
21,932,52165,3.4
22,3543,388921,4.99
23,1477,11498,4.82
24,3632,102916,2.83
25,4255,390354,4.55
26,2381,324096,3.19
27,4395,5016,2.84
28,2165,152383,4.64
29,3869,64987,2.37
30,4566,68254,3.61
31,3715,141827,1.38
32,1190,197582,3.43
33,3555,47889,4.86
34,4243,83672,4.6
35,2311,30133,4.16
36,4597,352715,4.25
37,3459,107092,4.72
38,338,263950,4.06
39,2585,189061,3.29
40,3271,154192,2.3
41,63,279440,4.8
42,4692,368252,2.59
43,2391,356913,1.96
44,1345,25368,4.54
45,2843,307344,3.45
46,4367,385152,4.93
47,4173,173423,2.21
48,4730,458052,1.96
49,72,444744,2.95
50,2667,427634,1.61
51,3432,325548,3.41
52,3922,137442,3.73
53,3687,253829,2.51
54,1861,242952,3.93
55,4619,109641,3.92
56,2045,374396,2.33
57,2398,420412,4.57
58,106,175208,2.06
59,419,438645,4.62
60,3324,49533,2.73
61,3777,25676,3.68
62,3317,479420,4.28
63,3244,197593,4.92
64,4842,302019,4.84
65,1448,11989,4.32
66,1655,298240,4.51
67,4383,147391,1.51
68,612,333081,2.0
69,986,442688,1.54
70,867,303667,4.22
71,1496,69556,1.43
72,704,362256,2.07
73,2903,407914,1.09
74,657,140014,1.04
75,527,176806,4.39
76,1151,357477,4.39
77,290,219820,3.5
78,2020,142377,4.93
79,1588,119658,3.18
80,2849,419074,3.49
81,237,339398,3.75
82,2944,87040,1.37
83,1570,111164,4.5
84,731,346231,1.67
85,2502,308196,1.77
86,2326,338587,1.6
87,825,106797,1.37
88,963,201889,3.62
89,4657,276145,4.51
90,2795,404133,3.13
91,1067,440362,1.64
92,132,156482,4.9
93,2027,235707,4.64
94,1975,464063,4.46
95,4275,424789,4.05
96,4177,398292,4.15
97,3143,83002,4.68
98,3283,144633,1.48
99,1654,12294,4.2
100,2383,96857,2.31
101,2726,132486,4.09
102,1503,393401,3.87
103,4099,358587,3.77
104,1238,424383,4.79
105,2039,95405,2.93
106,2484,476483,1.28
107,2450,448293,1.67
108,719,187816,3.51
109,4159,67509,1.43
110,4562,117692,2.97
111,1171,9677,4.95
112,3133,327132,2.07
113,2241,401762,3.26
114,3861,464498,1.69
115,1928,487514,1.85
116,971,223082,1.09
117,3938,495474,3.18
118,1418,461793,3.11
119,1513,499591,4.32
120,3527,462877,4.38
121,4147,368503,3.94
122,3251,108575,2.91
123,1863,43872,4.08
124,3984,316236,3.67
125,914,146472,1.28
126,373,292789,3.94
127,3219,72357,1.35
128,4981,398641,2.14
129,3626,444820,2.84
130,3546,31076,3.06
131,786,285734,3.75
132,3240,228139,3.05
133,1992,399715,4.4
134,4606,217866,1.88
135,1732,233274,4.85
136,1732,369847,4.6
137,1504,374040,4.03
138,3785,134087,4.0
139,3849,34851,3.99
140,3802,250717,1.67
141,3141,261457,1.08
142,949,51371,4.46
